ANNO_SOLARE;CODICE_ATENEO;NOME_ATENEO;TIPO_ATENEO;SESSO;LAUREATI_TOTALE
2017;101;Torino;S;F;7717
2017;101;Torino;S;M;4656
2017;102;Torino Politecnico;S;F;2073
2017;102;Torino Politecnico;S;M;4600
2017;201;Piemonte Orientale;S;F;1165
2017;201;Piemonte Orientale;S;M;659
2017;401;Bra - Scienze Gastronomiche;L;F;53
2017;401;Bra - Scienze Gastronomiche;L;M;52
2017;701;Aosta;L;F;187
2017;701;Aosta;L;M;69
2017;1001;Genova;S;F;3309
2017;1001;Genova;S;M;2461
2017;1201;Castellanza LIUC;L;F;222
2017;1201;Castellanza LIUC;L;M;371
2017;1202;Insubria;S;F;977
2017;1202;Insubria;S;M;650
2017;1301;Novedrate e-Campus;L;F;859
2017;1301;Novedrate e-Campus;L;M;817
2017;1501;Milano;S;F;7114
2017;1501;Milano;S;M;4321
2017;1502;Milano Politecnico;S;F;4036
2017;1502;Milano Politecnico;S;M;7004
2017;1503;Milano Bocconi;L;F;2179
2017;1503;Milano Bocconi;L;M;2321
2017;1504;Milano Cattolica;L;F;6565
2017;1504;Milano Cattolica;L;M;3395
2017;1505;Milano IULM;L;F;955
2017;1505;Milano IULM;L;M;307
2017;1508;Milano San Raffaele;L;F;334
2017;1508;Milano San Raffaele;L;M;195
2017;1509;Milano Bicocca;S;F;4274
2017;1509;Milano Bicocca;S;M;2404
2017;1510;Rozzano (MI) Humanitas University;L;F;12
2017;1510;Rozzano (MI) Humanitas University;L;M;3
2017;1601;Bergamo;S;F;2110
2017;1601;Bergamo;S;M;1047
2017;1701;Brescia;S;F;1271
2017;1701;Brescia;S;M;1361
2017;1801;Pavia;S;F;2524
2017;1801;Pavia;S;M;1893
2017;2101;Bolzano;L;F;431
2017;2101;Bolzano;L;M;177
2017;2201;Trento;S;F;1838
2017;2201;Trento;S;M;1689
2017;2301;Verona;S;F;3202
2017;2301;Verona;S;M;1609
2017;2701;Venezia Cà Foscari;S;F;3199
2017;2701;Venezia Cà Foscari;S;M;1530
2017;2702;Venezia Iuav;S;F;703
2017;2702;Venezia Iuav;S;M;592
2017;2801;Padova;S;F;7207
2017;2801;Padova;S;M;5481
2017;3001;Udine;S;F;1579
2017;3001;Udine;S;M;1248
2017;3201;Trieste;S;F;1674
2017;3201;Trieste;S;M;1164
2017;3401;Parma;S;F;2608
2017;3401;Parma;S;M;1976
2017;3601;Modena e Reggio Emilia;S;F;2442
2017;3601;Modena e Reggio Emilia;S;M;1780
2017;3701;Bologna;S;F;10299
2017;3701;Bologna;S;M;7607
2017;3801;Ferrara;S;F;1692
2017;3801;Ferrara;S;M;1283
2017;4101;Urbino;S;F;1558
2017;4101;Urbino;S;M;827
2017;4201;Marche;S;F;1429
2017;4201;Marche;S;M;1548
2017;4301;Macerata;S;F;1493
2017;4301;Macerata;S;M;479
2017;4302;Camerino;S;F;524
2017;4302;Camerino;S;M;496
2017;4801;Firenze;S;F;4747
2017;4801;Firenze;S;M;3139
2017;4804;Firenze IUL;L;F;21
2017;5001;Pisa;S;F;3659
2017;5001;Pisa;S;M;3383
2017;5201;Siena;S;F;1614
2017;5201;Siena;S;M;1161
2017;5202;Siena Stranieri;S;F;256
2017;5202;Siena Stranieri;S;M;43
2017;5401;Perugia;S;F;2404
2017;5401;Perugia;S;M;1761
2017;5403;Perugia Stranieri;S;F;138
2017;5403;Perugia Stranieri;S;M;79
2017;5601;Tuscia;S;F;592
2017;5601;Tuscia;S;M;737
2017;5801;Roma La Sapienza;S;F;10986
2017;5801;Roma La Sapienza;S;M;7406
2017;5802;Roma Tor Vergata;S;F;3039
2017;5802;Roma Tor Vergata;S;M;2886
2017;5803;Roma LUMSA;L;F;928
2017;5803;Roma LUMSA;L;M;345
2017;5805;Roma LUISS;L;F;1114
2017;5805;Roma LUISS;L;M;1279
2017;5806;Roma Foro Italico;S;F;167
2017;5806;Roma Foro Italico;S;M;343
2017;5807;Roma Tre;S;F;3886
2017;5807;Roma Tre;S;M;2440
2017;5808;Roma Biomedico;L;F;258
2017;5808;Roma Biomedico;L;M;148
2017;5809;Roma UNINT;L;F;353
2017;5809;Roma UNINT;L;M;90
2017;5810;Roma Marconi;L;F;694
2017;5810;Roma Marconi;L;M;765
2017;5811;Roma UNITELMA;L;F;133
2017;5811;Roma UNITELMA;L;M;176
2017;5812;Roma Europea;L;F;144
2017;5812;Roma Europea;L;M;71
2017;5813;Roma UNINETTUNO;L;F;182
2017;5813;Roma UNINETTUNO;L;M;299
2017;5815;Roma UNICUSANO;L;F;1410
2017;5815;Roma UNICUSANO;L;M;1807
2017;5816;Roma San Raffaele;L;F;140
2017;5816;Roma San Raffaele;L;M;192
2017;5817;Roma - Link Campus;L;F;147
2017;5817;Roma - Link Campus;L;M;291
2017;6001;Cassino;S;F;721
2017;6001;Cassino;S;M;558
2017;6201;Sannio;S;F;464
2017;6201;Sannio;S;M;397
2017;6202;Benevento - Giustino Fortunato;L;F;92
2017;6202;Benevento - Giustino Fortunato;L;M;148
2017;6301;Napoli Federico II;S;F;7274
2017;6301;Napoli Federico II;S;M;5593
2017;6302;Napoli Parthenope;S;F;1010
2017;6302;Napoli Parthenope;S;M;1258
2017;6303;Napoli L'Orientale;S;F;1534
2017;6303;Napoli L'Orientale;S;M;341
2017;6304;Napoli Benincasa;L;F;1530
2017;6304;Napoli Benincasa;L;M;224
2017;6306;Napoli Vanvitelli;S;F;2846
2017;6306;Napoli Vanvitelli;S;M;1856
2017;6307;Napoli Pegaso;L;F;2163
2017;6307;Napoli Pegaso;L;M;3321
2017;6501;Salerno;S;F;3199
2017;6501;Salerno;S;M;2018
2017;6601;L'Aquila;S;F;2018
2017;6601;L'Aquila;S;M;1444
2017;6701;Teramo;S;F;595
2017;6701;Teramo;S;M;420
2017;6901;Chieti e Pescara;S;F;3391
2017;6901;Chieti e Pescara;S;M;1580
2017;6902;Torrevecchia Teatina - Leonardo da Vinci;L;F;16
2017;6902;Torrevecchia Teatina - Leonardo da Vinci;L;M;12
2017;7001;Molise;S;F;634
2017;7001;Molise;S;M;422
2017;7101;Foggia;S;F;969
2017;7101;Foggia;S;M;541
2017;7201;Bari;S;F;4909
2017;7201;Bari;S;M;2642
2017;7202;Bari Politecnico;S;F;663
2017;7202;Bari Politecnico;S;M;1292
2017;7203;Casamassima - J.Monnet;L;F;104
2017;7203;Casamassima - J.Monnet;L;M;160
2017;7501;Salento;S;F;2094
2017;7501;Salento;S;M;1025
2017;7601;Basilicata;S;F;495
2017;7601;Basilicata;S;M;372
2017;7801;Calabria;S;F;2689
2017;7801;Calabria;S;M;1792
2017;7901;Catanzaro;S;F;946
2017;7901;Catanzaro;S;M;603
2017;8001;Reggio Calabria;S;F;441
2017;8001;Reggio Calabria;S;M;487
2017;8003;Reggio Calabria - Dante Alighieri;L;F;177
2017;8003;Reggio Calabria - Dante Alighieri;L;M;41
2017;8201;Palermo;S;F;4418
2017;8201;Palermo;S;M;2820
2017;8301;Messina;S;F;2422
2017;8301;Messina;S;M;1263
2017;8601;Enna - KORE;L;F;751
2017;8601;Enna - KORE;L;M;400
2017;8701;Catania;S;F;3907
2017;8701;Catania;S;M;2534
2017;9001;Sassari;S;F;1318
2017;9001;Sassari;S;M;721
2017;9201;Cagliari;S;F;2433
2017;9201;Cagliari;S;M;1545
