PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ACCTYPE,ACCDEPEND,ACCDEPENDURL,ACCDEPENDURLW
10000163,10000163,MCCF-B320,1,05701,0,,
10000291,10000291,K00001,1,13601,0,,
10000291,10000291,K00001,1,16401,0,,
10000291,10000291,K00009,1,19501,0,,
10000291,10000291,K00033,1,09402,0,,
10000291,10000291,K00035,1,06101,0,,
10000291,10000291,K00065,1,00601,0,,
10000291,10000291,K00065,1,03401,0,,
10000291,10000291,K00065,1,00701,0,,
10000291,10000291,K00066,1,03501,0,,
10000291,10000291,K00082,1,11102,0,,
10000291,10000291,K00098,1,03501,0,,
10000291,10000291,K00100,1,03002,0,,
10000291,10000291,K00100,1,10002,0,,
10000291,10000291,K00100,1,09302,0,,
10000291,10000291,K00100,1,08102,0,,
10000291,10000291,K00101,1,09402,0,,
10000291,10000291,K00102,1,09402,0,,
10000291,10000291,K00102,1,09903,0,,
10000291,10000291,K00103,1,02701,0,,
10000291,10000291,K00103,1,14101,0,,
10000291,10000291,K00104,1,10101,0,,
10000291,10000291,K00104,1,09403,0,,
10000291,10000291,K00106,1,12201,0,,
10000291,10000291,K00107,1,03601,0,,
10000291,10000291,K00108,1,11106,0,,
10000291,10000291,K00109,1,11105,0,,
10000291,10000291,K00116,1,04401,0,,
10000291,10000291,K00118,1,04401,0,,
10000291,10000291,K00119,1,11103,0,,
10000291,10000291,K00120,1,03003,0,,
10000291,10000291,K00120,1,08103,0,,
10000291,10000291,K00120,1,09303,0,,
10000291,10000291,K00120,1,10003,0,,
10000291,10000291,K00123,1,01110,0,,
10000291,10000291,K00123,1,01101,0,,
10000291,10000291,K00123,1,09402,0,,
10000291,10000291,K00126,1,06914,0,,
10000291,10000291,K00127,1,02801,0,,
10000291,10000291,K00127,1,14101,0,,
10000291,10000291,K00132,1,05601,0,,
10000291,10000291,K00134,1,03004,0,,
10000291,10000291,K00134,1,08104,0,,
10000291,10000291,K00134,1,10004,0,,
10000291,10000291,K00134,1,09304,0,,
10000291,10000291,K00138,1,00601,0,,
10000291,10000291,K00138,1,03401,0,,
10000291,10000291,K00138,1,00701,0,,
10000291,10000291,K00139,1,13401,0,,
10000291,10000291,K00140,1,09303,0,,
10000291,10000291,K00140,1,10003,0,,
10000291,10000291,K00140,1,03003,0,,
10000291,10000291,K00140,1,08103,0,,
10000291,10000291,K00141,1,03002,0,,
10000291,10000291,K00141,1,08102,0,,
10000291,10000291,K00141,1,09302,0,,
10000291,10000291,K00141,1,10002,0,,
10000291,10000291,K00142,1,09402,0,,
10000291,10000291,K00142,1,09903,0,,
10000291,10000291,K00143,1,00102,0,,
10000291,10000291,K00144,1,02801,0,,
10000291,10000291,K00144,1,14101,0,,
10000291,10000291,K00145,1,12201,0,,
10000291,10000291,K00146,1,02701,0,,
10000291,10000291,K00146,1,14101,0,,
10000291,10000291,K00147,1,12201,0,,
10000291,10000291,K00150,2,06905,0,,
10000291,10000291,K00151,2,06001,0,,
10000291,10000291,K00152,1,06001,0,,
10000291,10000291,K00153,1,06001,0,,
10000291,10000291,K00157,1,02001,0,,
10000291,10000291,K00158,1,02001,0,,
10000291,10000291,K00161,1,13401,0,,
10000291,10000291,K00162,1,12201,0,,
10000291,10000291,K00163,1,13401,0,,
10000291,10000291,K00170,1,01101,0,,
10000291,10000291,K00170,1,01110,0,,
10000291,10000291,K00170,1,09402,0,,
10000291,10000291,K00179,1,09403,0,,
10000291,10000291,K00179,1,10101,0,,
10000291,10000291,K00187,2,06101,0,,
10000291,10000291,K00188,1,07301,0,,
10000291,10000291,K00188,1,13401,0,,
10000291,10000291,K00189,1,13401,0,,
10000291,10000291,K00190,1,13401,0,,
10000291,10000291,K00191,1,13401,0,,
10000291,10000291,K00192,1,13401,0,,
