CODE,TITLE
CAH01,"medicine and dentistry"
CAH02,"subjects allied to medicine"
CAH03,"biological and sport sciences"
CAH04,"psychology"
CAH05,"veterinary sciences"
CAH06,"agriculture, food and related studies"
CAH07,"physical sciences"
CAH08,"general and others in sciences"
CAH09,"mathematical sciences"
CAH10,"engineering and technology"
CAH11,"computing"
CAH12,"geographical and environmental studies"
CAH13,"architecture, building and planning"
CAH14,"humanities and liberal arts"
CAH15,"social sciences"
CAH16,"law"
CAH17,"business and management"
CAH18,"communications and media"
CAH19,"language and area studies"
CAH20,"historical, philosophical and religious studies"
CAH21,"creative arts and design"
CAH22,"education and teaching"
CAH23,"combined and general studies"
