PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFOutcome,APROutcome,SUURL,SUURLW
10000047,10001143,XF,XF,Did not participate,,http://ccsu.co.uk/,
10000055,10000055,XF,XF,Silver,Meets requirements,http://www.nus.org.uk/en/students-unions/abingdon-and-witney-college-students-union/,
10000163,10000163,XF,XF,Silver,,http://www.aecc.ac.uk/undergrad/su/suhome.aspx,
10000216,10000216,XF,XF,Did not participate,,https://www.allnations.ac.uk/community-life,
10000248,10000248,XF,XF,Bronze,,https://www.nus.org.uk,
10000256,10007155,XF,XF,Did not participate,Meets requirements,https://www.upsu.net/,
10000291,10000291,XF,XF,Silver,Meets requirements,http://www.angliastudent.com,
10000381,10000381,XF,XF,Gold,,https://artsed.co.uk/musical-theatre/musical-theatre-student-union,
10000385,10000385,XF,XF,Gold,Meets requirements,http://www.aubsu.co.uk/,
10000409,10006299,XF,XF,Did not participate,Meets requirements,http://www.staffsunion.com,
10000415,10000415,XF,XF,Bronze,Meets requirements,https://www.askham-bryan.ac.uk/higher-education/student-life,
10000473,10000473,XF,XF,Bronze,Meets requirements,http://www.buckscollegegroup.ac.uk/student-life/beyondtheclassroom,
10000528,10000528,XF,XF,Did not participate,Meets requirements,http://www.barkingdagenhamcollege.ac.uk/en/facilities/student-union.cfm,
10000533,10000533,XF,XF,Bronze,Meets requirements,http://barnetsouthgate.ac.uk/higher-level-skills,
10000536,10000536,XF,XF,Did not participate,Meets requirements with an action plan,http://universitycampus.barnsley.ac.uk/life-at-ucb/student-union/,
10000571,10000571,XF,XF,Silver,Meets requirements,http://www.bathspasu.co.uk/,
10000610,10000610,XF,XF,Did not participate,Meets requirements,http://www.bedford.ac.uk,
10000654,10000654,XF,XF,Did not participate,,http://www.bca.ac.uk/courses/higher-education/,
10000670,10000670,XF,XF,Did not participate,Meets requirements,http://www.bexhillcollege.ac.uk,
10000712,10000712,XF,XF,Silver,Meets requirements,https://www.ucbguild.org.uk/,
10000720,10000720,XF,XF,Bronze,Meets requirements,https://bacoll.ac.uk/student-union/,
10000721,10000721,XF,XF,Bronze,Meets requirements,http://www.bishopburton.ac.uk/student-life/working/student-association,
10000747,10000747,XF,XF,Bronze,Meets requirements with an action plan,http://su.blackburn.ac.uk/,
10000754,10000754,XF,XF,Gold,Meets requirements,http://www.blackpool.ac.uk/bsu,
10000794,10000794,XF,XF,Did not participate,Meets requirements,http://www.boltoncollege.ac.uk/content/student-union,
10000812,10000812,XF,XF,Bronze,Meets requirements,http://www.boston.ac.uk/students/Pages/Experience-College.aspx,
10000820,10000820,XF,XF,Did not participate,Meets requirements with an action plan,https://www.thecollege.co.uk/student-life/students-union,
10000824,10000824,XF,XF,Silver,Meets requirements,http://www.subu.org.uk/,
10000833,10000833,XF,XF,Did not participate,Meets requirements,http://www.bracknell.ac.uk,
10000840,10000840,XF,XF,Bronze,Meets requirements,https://www.bradfordcollege.ac.uk/student-services/students-union,
10000878,10000878,XF,XF,Silver,Meets requirements,http://www.bridgwater.ac.uk/collegeinformation.php?category=84&page=85,
10000886,10000886,XF,XF,Silver,Meets requirements with an action plan,http://www.brightonsu.com/,
10000894,10000894,XF,XF,Provisional,,https://www.nus.org.uk/,
10000911,10007801,XF,XF,Did not participate,,http://www.upsu.com/,
10000936,10000936,XF,XF,Silver,Meets requirements,https://www.uco.ac.uk/life-uco/student-life/student-union,
10000944,10000944,XF,XF,Did not participate,Meets requirements,https://www.brock.ac.uk/sixth-form/social/,
10000948,10000948,XF,XF,Silver,Meets requirements,https://www.lsec.ac.uk/higher-education/support-for-students,
10000950,10000950,XF,XF,Silver,Meets requirements,http://www.brooklands.ac.uk/facilities/student-union,
10000952,10000952,XF,XF,Bronze,Meets requirements,http://he.brooksbymelton.ac.uk/student-experience/student-union/,
10000961,10000961,XF,XF,Silver,Meets requirements,https://brunelstudents.com/,
10000975,10000975,XF,XF,Silver,Meets requirements,http://www.bucksstudentsunion.org/,
10001000,10001000,XF,XF,Silver,Meets requirements,http://www.burnley.ac.uk/uclan/Student-Union,
10001004,10001004,XF,XF,Did not participate,Meets requirements,http://www.staffsunion.com,
10001005,10001005,XF,XF,Silver,Meets requirements,http://www.burycollegeunicentre.co.uk/,
10001093,10001093,XF,XF,Silver,Meets requirements,https://www.calderdale.ac.uk/student-life/students-union/,
10001143,10001143,XF,XF,Silver,Meets requirements,http://ccsu.co.uk/,
10001148,10005545,XF,XF,Did not participate,,https://www.rau.ac.uk/university-life/social/student-union,
10001165,10001165,XF,XF,Did not participate,Meets requirements,http://www.cardinalnewman.ac.uk/universitycourses/,
