PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000047,10001143,PSSFDOPTDIS,1,A1,6073
10000163,10000163,BSCERSF-C608,1,AE,2619
10000163,10000163,BSCPF-C843,1,AE,8917
10000163,10000163,BSHESF-C609,1,AE,3977
10000163,10000163,BSHPF-C841,1,AE,8065
10000163,10000163,BSPF-C800,1,AE,2927
10000163,10000163,BSSEHF-C607,1,AE,4285
10000163,10000163,BSSEHF-C813,1,AE,2188
10000163,10000163,BSSSF-C606,1,AE,1648
10000163,10000163,MCCF-B320,1,AE,1746
10000291,10000291,K00001,1,AA,8166
10000291,10000291,K00001,1,CC,1301
10000291,10000291,K00004,1,CC,3215
10000291,10000291,K00005,1,CC,5549
10000291,10000291,K00006,1,CC,3009
10000291,10000291,K00007,1,CC,7391
10000291,10000291,K00008,1,CC,1580
10000291,10000291,K00009,1,CC,9299
10000291,10000291,K00010,1,CC,0043
10000291,10000291,K00011,1,CC,3609
10000291,10000291,K00012,1,CC,0501
10000291,10000291,K00014,1,CC,4056
10000291,10000291,K00015,1,CC,7533
10000291,10000291,K00016,1,CC,4153
10000291,10000291,K00018,1,CC,4917
10000291,10000291,K00019,1,CC,8296
10000291,10000291,K00020,1,CC,3314
10000291,10000291,K00023,1,CC,3337
10000291,10000291,K00024,1,CC,3893
10000291,10000291,K00025,1,CC,5821
10000291,10000291,K00026,1,CC,5102
10000291,10000291,K00027,1,CC,9671
10000291,10000291,K00028,1,CC,7457
10000291,10000291,K00029,1,CC,5386
10000291,10000291,K00031,1,CC,4392
10000291,10000291,K00032,1,CC,6900
10000291,10000291,K00033,1,AA,1235
10000291,10000291,K00035,1,SS,3467
10000291,10000291,K00040,1,CC,5703
10000291,10000291,K00041,1,CC,5854
10000291,10000291,K00042,1,CC,2474
10000291,10000291,K00045,1,CC,5516
10000291,10000291,K00048,1,CC,6989
10000291,10000291,K00050,1,CC,4481
10000291,10000291,K00056,1,CC,2430
10000291,10000291,K00065,1,AA,3574
10000291,10000291,K00066,1,CC,8340
10000291,10000291,K00079,1,CC,3469
10000291,10000291,K00082,1,55,6182
10000291,10000291,K00082,1,AA,8566
10000291,10000291,K00082,1,CC,5218
10000291,10000291,K00087,1,AA,3053
10000291,10000291,K00092,1,CC,0812
10000291,10000291,K00095,1,AA,4120
10000291,10000291,K00098,1,CC,5886
10000291,10000291,K00099,1,CC,6832
10000291,10000291,K00100,1,AA,1634
10000291,10000291,K00101,1,AA,6190
10000291,10000291,K00102,1,AA,9387
10000291,10000291,K00103,1,AA,6431
10000291,10000291,K00104,1,CC,9985
10000291,10000291,K00105,1,AA,4937
10000291,10000291,K00106,1,AA,8317
10000291,10000291,K00107,1,CC,8634
10000291,10000291,K00108,1,AA,5659
10000291,10000291,K00108,1,CC,2927
10000291,10000291,K00109,1,AA,0610
10000291,10000291,K00109,1,CC,7536
10000291,10000291,K00110,1,UU,9638
10000291,10000291,K00111,1,AA,7338
10000291,10000291,K00114,1,CC,3825
10000291,10000291,K00116,1,CC,4000
