UKPRN,PROVIDER_NAME,UPDATED
10000047,ABDO College of Education,04/09/2018
10000055,Abingdon and Witney College,04/09/2018
10000093,Accrington and Rossendale College,04/09/2018
10000163,AECC University College,04/09/2018
10000216,All Nations Christian College,04/09/2018
10000248,Academy of Live and Recorded Arts,04/09/2018
10000256,Alton College,04/09/2018
10000291,Anglia Ruskin University,04/09/2018
10000381,Arts Educational Schools,04/09/2018
10000385,The Arts University Bournemouth,04/09/2018
10000409,Ashton Sixth Form College,04/09/2018
10000415,Askham Bryan College,04/09/2018
10000473,Aylesbury College,04/09/2018
10000528,Barking and Dagenham College,04/09/2018
10000533,Barnet and Southgate College,04/09/2018
10000571,Bath Spa University,04/09/2018
10000610,Bedford College,04/09/2018
10000654,The Berkshire College of Agriculture (BCA),04/09/2018
10000670,Bexhill College,04/09/2018
10000712,University College Birmingham,04/09/2018
10000720,Bishop Auckland College,04/09/2018
10000721,Bishop Burton College,04/09/2018
10000747,Blackburn College,04/09/2018
10000754,Blackpool and The Fylde College,04/09/2018
10000794,Bolton College,04/09/2018
10000812,Boston College,04/09/2018
10000820,The Bournemouth and Poole College,04/09/2018
10000824,Bournemouth University,04/09/2018
10000833,Bracknell and Wokingham College,04/09/2018
10000840,Bradford College,04/09/2018
10000878,Bridgwater and Taunton College,04/09/2018
10000886,The University of Brighton,04/09/2018
10000894,Bristol Baptist College,04/09/2018
10000911,British College of Osteopathic Medicine,04/09/2018
10000936,The University College of Osteopathy,04/09/2018
10000944,Brockenhurst College,04/09/2018
10000948,Bromley College of Further and Higher Education,04/09/2018
10000950,Brooklands College,04/09/2018
10000952,BMC (Brooksby Melton College),04/09/2018
10000961,Brunel University London,04/09/2018
10000975,Buckinghamshire New University,04/09/2018
10001000,Burnley College,04/09/2018
10001004,Burton and South Derbyshire College,04/09/2018
10001005,Bury College,04/09/2018
10001093,Calderdale College,04/09/2018
10001143,Canterbury Christ Church University,04/09/2018
10001148,Capel Manor College,04/09/2018
10001165,Cardinal Newman College,04/09/2018
10001288,"Institute for Children, Youth and Mission",04/09/2018
10001378,Chesterfield College,04/09/2018
10001386,Chicken Shed Theatre Company,04/09/2018
10001446,Cirencester College,04/09/2018
10001465,Bath College,04/09/2018
10001467,City of Bristol College,04/09/2018
10001475,City of Sunderland College,04/09/2018
10001476,United Colleges Group,04/09/2018
10001478,"City, University of London",04/09/2018
10001503,The Northern School of Art,04/09/2018
10001535,Colchester Institute,04/09/2018
10001546,The College of Integrated Chinese Medicine,04/09/2018
