KISCOURSEID,SBJ
PSSFDOPTDIS,CAH02-03-03
AB20,CAH06-01-01
AB27,CAH06-01-01
AB28,CAH10-01-08
AB29,CAH10-01-02
AB30,CAH17-01-06
AB33,CAH22-01-01
AB35,CAH06-01-03
AB37,CAH17-01-02
EQS,CAH06-01-01
EQT,CAH06-01-01
BSCERSF-C608,CAH03-02-01
BSCPF-C843,CAH02-03-08
BSHESF-C609,CAH03-02-01
BSHPF-C841,CAH04-01-04
BSPF-C800,CAH04-01-01
BSSEHF-C607,CAH03-02-01
BSSEHF-C813,CAH04-01-02
BSSSF-C606,CAH03-02-01
MCCF-B320,CAH02-03-06
177650,CAH20-02-02
532986,CAH20-02-02
3YA,CAH21-01-06
MAD,CAH21-01-06
PGA,CAH21-01-06
C2200P,CAH10-01-01
K00001,CAH16-01-01
K00004,CAH21-01-02
K00005,CAH21-01-03
K00006,CAH21-01-03
K00007,CAH21-01-03
K00008,CAH21-01-03
K00009,CAH11-01-06
K00010,CAH21-01-08
K00011,CAH21-01-08
K00012,CAH21-01-03
K00014,CAH18-01-05
K00015,CAH18-01-05
K00016,CAH18-01-05
K00018,CAH19-01-03
K00019,CAH19-01-02
K00020,CAH19-01-02
K00023,CAH18-01-05
K00023,CAH19-01-05
K00024,CAH19-01-05
K00025,CAH19-01-02
K00026,CAH21-01-05
K00027,CAH21-01-05
K00028,CAH21-01-06
K00029,CAH21-01-06
K00031,CAH21-01-06
K00031,CAH18-01-05
K00032,CAH19-01-03
K00032,CAH21-01-06
K00033,CAH10-01-08
K00035,CAH02-03-06
K00037,CAH14-01-01
K00038,CAH17-01-04
K00039,CAH15-01-02
K00040,CAH15-01-02
K00041,CAH15-01-01
K00041,CAH15-01-02
K00042,CAH15-01-02
K00044,CAH20-01-01
K00044,CAH19-01-03
K00045,CAH20-01-01
K00048,CAH20-02-01
K00050,CAH19-01-03
K00050,CAH20-02-01
K00051,CAH17-01-04
K00052,CAH17-01-05
K00052,CAH17-01-04
K00053,CAH17-01-02
K00054,CAH17-01-02
K00055,CAH17-01-02
K00056,CAH15-02-01
K00065,CAH17-01-08
K00066,CAH17-01-03
K00079,CAH11-01-01
K00082,CAH02-01-02
K00083,CAH17-01-07
K00085,CAH16-01-01
K00085,CAH17-01-08
K00087,CAH15-01-02
K00092,CAH11-01-04
K00093,CAH17-01-04
K00095,CAH17-01-07
K00096,CAH17-01-02
K00098,CAH17-01-03
K00099,CAH11-01-04
K00100,CAH10-01-07
K00101,CAH10-01-08
K00102,CAH10-01-02
K00103,CAH13-01-01
K00104,CAH10-02-06
K00105,CAH17-01-07
K00106,CAH13-01-02
K00107,CAH17-01-05
K00107,CAH17-01-04
K00108,CAH02-01-04
K00109,CAH02-01-05
K00109,CAH02-01-01
K00110,CAH21-01-04
K00111,CAH02-03-12
K00114,CAH15-02-01
K00116,CAH17-01-04
K00117,CAH17-01-04
K00118,CAH17-01-04
