KISCOURSEID,CODE
PSSFDOPTDIS,CAH02
AB20,CAH06
AB27,CAH06
AB28,CAH10
AB29,CAH10
AB30,CAH17
AB33,CAH22
AB35,CAH06
AB37,CAH17
EQS,CAH06
EQT,CAH06
BSCERSF-C608,CAH03
BSCPF-C843,CAH02
BSHESF-C609,CAH03
BSHPF-C841,CAH04
BSPF-C800,CAH04
BSSEHF-C607,CAH03
BSSEHF-C813,CAH04
BSSSF-C606,CAH03
MCCF-B320,CAH02
177650,CAH20
532986,CAH20
3YA,CAH21
MAD,CAH21
PGA,CAH21
C2200P,CAH10
K00001,CAH16
K00004,CAH21
K00005,CAH21
K00006,CAH21
K00007,CAH21
K00008,CAH21
K00009,CAH11
K00010,CAH21
K00011,CAH21
K00012,CAH21
K00014,CAH18
K00015,CAH18
K00016,CAH18
K00018,CAH19
K00019,CAH19
K00020,CAH19
K00023,CAH18
K00023,CAH19
K00024,CAH19
K00025,CAH19
K00026,CAH21
K00027,CAH21
K00028,CAH21
K00029,CAH21
K00031,CAH21
K00031,CAH18
K00032,CAH19
K00032,CAH21
K00033,CAH10
K00035,CAH02
K00037,CAH14
K00038,CAH17
K00039,CAH15
K00040,CAH15
K00041,CAH15
K00041,CAH15
K00042,CAH15
K00044,CAH20
K00044,CAH19
K00045,CAH20
K00048,CAH20
K00050,CAH19
K00050,CAH20
K00051,CAH17
K00052,CAH17
K00052,CAH17
K00053,CAH17
K00054,CAH17
K00055,CAH17
K00056,CAH15
K00065,CAH17
K00066,CAH17
K00079,CAH11
K00082,CAH02
K00083,CAH17
K00085,CAH16
K00085,CAH17
K00087,CAH15
K00092,CAH11
K00093,CAH17
K00095,CAH17
K00096,CAH17
K00098,CAH17
K00099,CAH11
K00100,CAH10
K00101,CAH10
K00102,CAH10
K00103,CAH13
K00104,CAH10
K00105,CAH17
K00106,CAH13
K00107,CAH17
K00107,CAH17
K00108,CAH02
K00109,CAH02
K00109,CAH02
K00110,CAH21
K00111,CAH02
K00114,CAH15
K00116,CAH17
K00117,CAH17
K00118,CAH17
K00119,CAH02
K00120,CAH10
K00121,CAH11
K00122,CAH11
K00123,CAH11
K00125,CAH15
K00126,CAH15
K00127,CAH13
K00128,CAH07
K00130,CAH17
K00132,CAH07
K00133,CAH17
K00134,CAH10
K00136,CAH22
K00137,CAH22
K00138,CAH17
K00139,CAH03
K00140,CAH10
K00141,CAH10
K00142,CAH10
K00143,CAH13
K00144,CAH13
K00145,CAH13
K00146,CAH13
K00147,CAH13
K00149,CAH22
K00150,CAH02
K00151,CAH02
K00152,CAH02
K00153,CAH02
K00154,CAH18
K00155,CAH18
K00156,CAH15
K00157,CAH04
K00158,CAH04
K00160,CAH04
K00160,CAH15
K00161,CAH03
K00162,CAH13
K00163,CAH03
K00164,CAH11
K00166,CAH18
K00167,CAH22
K00169,CAH02
K00170,CAH11
K00174,CAH11
K00176,CAH11
K00179,CAH10
K00182,CAH16
K00185,CAH03
K00187,CAH02
K00188,CAH03
K00189,CAH03
K00190,CAH03
K00191,CAH03
K00192,CAH03
K00193,CAH03
K00194,CAH03
K00195,CAH03
K00196,CAH03
K00199,CAH02
K00200,CAH07
K00201,CAH07
K00202,CAH07
K00203,CAH17
K00205,CAH02
K00209,CAH11
K00210,CAH13
K00211,CAH13
K00212,CAH03
K00213,CAH10
K00214,CAH21
K00215,CAH22
K00217,CAH17
K00218,CAH17
K00219,CAH10
K00224,CAH17
K00225,CAH02
K00226,CAH15
K00227,CAH15
K00228,CAH10
K00229,CAH17
K00230,CAH17
K00231,CAH17
K00232,CAH17
K00232,CAH17
K00233,CAH17
K00234,CAH17
K00235,CAH17
K00236,CAH11
K00237,CAH17
K00238,CAH16
K00238,CAH17
K00239,CAH17
K00242,CAH17
K00244,CAH03
K00246,CAH11
K00249,CAH07
K00250,CAH07
K00256,CAH15
K00258,CAH15
K00259,CAH15
K00260,CAH03
K00264,CAH02
K00267,CAH05
K00268,CAH05
K00277,CAH10
K00278,CAH10
K00283,CAH13
K00286,CAH11
K00289,CAH13
K00290,CAH17
K00290,CAH17
K00291,CAH17
K00292,CAH17
K00293,CAH07
K00295,CAH22
K00298,CAH17
K00299,CAH02
K00300,CAH02
K00306,CAH17
K00309,CAH03
K00310,CAH17
K00311,CAH10
K00312,CAH02
K00314,CAH17
K00316,CAH17
K00317,CAH17
K00318,CAH17
K00320,CAH03
K00322,CAH13
K00323,CAH02
K00324,CAH02
K00325,CAH22
K00326,CAH02
K00327,CAH02
K00328,CAH21
K00329,CAH02
K00330,CAH02
K00331,CAH15
K00333,CAH10
K00334,CAH15
K00335,CAH13
K00336,CAH17
K00338,CAH02
K00339,CAH03
K00340,CAH14
K00341,CAH15
K00347,CAH15
K00352,CAH17
K00353,CAH03
K00354,CAH07
K00355,CAH15
K00356,CAH03
K00361,CAH17
K00363,CAH19
K00365,CAH11
K00366,CAH11
K00367,CAH11
K00368,CAH11
K00369,CAH15
K00370,CAH20
K00371,CAH10
K00372,CAH02
K00373,CAH15
K00375,CAH15
K00376,CAH22
K00377,CAH22
K00378,CAH17
K00379,CAH15
K00379,CAH16
K00380,CAH21
K00381,CAH01
K00382,CAH03
K00383,CAH03
K00384,CAH17
K00385,CAH03
K00386,CAH03
K00387,CAH03
K00388,CAH03
K00389,CAH03
K00390,CAH11
K00391,CAH11
K00442,CAH19
BAMT,CAH21
BAct,CAH21
BAACT,CAH21
BAADH,CAH20
BAAEP,CAH17
BAANP,CAH21
BAARC,CAH13
BACPH,CAH21
BACRW,CAH19
BACSS,CAH21
BADAN,CAH21
BADRA,CAH21
BAFAR,CAH21
BAFCO,CAH21
BAFLP,CAH21
BAFSC,CAH21
BAGDS,CAH21
BAIAD,CAH21
BAILL,CAH21
BAMDM,CAH21
BAMMP,CAH21
BAPHO,CAH21
BATXT,CAH21
BAVCO,CAH21
BAVFX,CAH21
UASH-09739,CAH22
UASH-10191,CAH02
UASH-11716,CAH15
UASH-11775,CAH22
UASH-12017,CAH21
BSAS3F,CAH06
BSCAGF,CAH06
BSCESF,CAH06
BSCHOF,CAH13
DFACCF,CAH06
DFACCF,CAH06
DFACCP,CAH06
DFAGRF,CAH06
DFAGRF,CAH06
DFAMXF,CAH06
DFAMXF,CAH06
DFAUFF,CAH06
DFAUFF,CAH06
