UKPRN,PROVIDER_NAME,KISCOURSEID,KISMODE,COURSE_TITLE,DATASET_ITEM_AFFECTED,SBJ,WEBSITE_SECTION,DATE,NOTES
10000536,Barnsley College,CPESDFT,1,"Coaching, Physical Education and Sports Development",KISCOURSE,N/A,All sections,18/09/2018,New
10000536,Barnsley College,CPESDPT,2,"Coaching, Physical Education and Sports Development Part Time",KISCOURSE,N/A,All sections,18/09/2018,New
10000536,Barnsley College,PAHEFT,1,"Physical Activity, Health and Exercise",KISCOURSE,N/A,All sections,18/09/2018,New
10000536,Barnsley College,PAHEPT,2,"Physical Activity, Health and Exercise Part Time",KISCOURSE,N/A,All sections,18/09/2018,New
10000536,Barnsley College,SEYFDFT,1,Supporting Early Years,KISCOURSE,N/A,All sections,18/09/2018,New
10000536,Barnsley College,PS29EYBAFT,1,Early Years,KISCOURSE,N/A,All sections,18/09/2018,Removed
10000536,Barnsley College,PS29EYBAPT,2,Early Years,KISCOURSE,N/A,All sections,18/09/2018,Removed
10001282,University of Northumbria at Newcastle,21FPLC-N-PLC1,1,Professional Policing,KISCOURSE,N/A,All sections,18/09/2018,New
10003010,Coventry College,N/A,N/A,N/A,INSTITUTION,N/A,All sections,18/09/2018,New
10003614,The University of Winchester,BCSAISINGW9F,1,Computer Science with Artificial Intelligence,KISCOURSE,N/A,All sections,18/09/2018,New
10003863,Leeds Trinity University,APSCSCI,1,Applied Social Science,KISCOURSE,N/A,All sections,18/09/2018,New
10003863,Leeds Trinity University,BUSAENT,1,Business and Enterprise,KISCOURSE,N/A,All sections,18/09/2018,New
10003863,Leeds Trinity University,HEALPSY,1,Health Psychology,KISCOURSE,N/A,All sections,18/09/2018,New
10003863,Leeds Trinity University,LAWACRM,1,Law and Criminology,KISCOURSE,N/A,All sections,18/09/2018,New
10004078,London South Bank University,2306A,2,Architectural Engineering,KISCOURSE,N/A,All sections,18/09/2018,New
10004078,London South Bank University,5018A,1,Baking Science and Technology (Management),KISCOURSE,N/A,All sections,18/09/2018,New
10005127,Plymouth College of Art,CGFTK,1,Ceramics and Glass,KISCOURSE,N/A,All sections,18/09/2018,Removed
10005127,Plymouth College of Art,DEFTK,1,Product Design and Innovation,KISCOURSE,N/A,All sections,18/09/2018,Removed
10005127,Plymouth College of Art,JJFTK,1,Jewellery,KISCOURSE,N/A,All sections,18/09/2018,Removed
10005127,Plymouth College of Art,XCGFTK,1,Ceramics and Glass,KISCOURSE,N/A,All sections,18/09/2018,Removed
10005127,Plymouth College of Art,XDEFTK,1,Product Design and Innovation,KISCOURSE,N/A,All sections,18/09/2018,Removed
10005127,Plymouth College of Art,XJJFTK,1,Jewellery,KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-12308,1,Computer Science,KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-12313,1,Computer Science (Software Development),KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-12318,1,Computer Science (Cyber Security),KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-12323,1,"Computer Science (Cloud, Networks and Security)",KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-12328,1,Computer Science (Internet and Media Technologies),KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-12333,1,AI and Robotics,KISCOURSE,N/A,All sections,18/09/2018,New
10006299,Staffordshire University,SSTK-05377,2,Biomedical Science,KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-05594,2,Forensic Biology,KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-10029,2,Early Childhood Studies (accelerated),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11705,1,Biological Science (with a foundation year),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11709,2,Healthcare Science (Blood Sciences),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11710,2,Healthcare Science (Cellular Sciences),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11711,2,Healthcare Science (Genetic Sciences),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11712,2,Healthcare Science (Infection Sciences),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11713,1,Sports Coaching (with a foundation year),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11716,2,Sports Coaching,KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11766,2,Ecology and Conservation Practice,KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-11784,1,Psychology (with a foundation year),KISCOURSE,N/A,All sections,18/09/2018,Removed
10006299,Staffordshire University,SSTK-12016,1,Cyber Security (with a foundation year),KISCOURSE,N/A,All sections,18/09/2018,Removed
10007149,The University of Hull,ED0002,1,TESOL and Education Studies,KISCOURSE,N/A,All sections,18/09/2018,New
10007149,The University of Hull,121602,1,Education Studies with TESOL,KISCOURSE,N/A,All sections,18/09/2018,Removed
10007149,The University of Hull,121602,2,Education Studies with TESOL,KISCOURSE,N/A,All sections,18/09/2018,Removed
10007154,University of Nottingham,B403,1,Nutrition,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,B403,2,Nutrition,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,B4DF,1,Consumer Behaviour: Food and Nutrition,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,B4DN,1,Consumer Behaviour: Food and Nutrition,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,C203,1,Plant Science,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,C203,2,Plant Science,KISCOURSE,N/A,All sections,18/09/2018,New
10007154,University of Nottingham,X3MA,1,Education,KISCOURSE,N/A,All sections,18/09/2018,Removed
10007455,The WKCIC Group,N/A,N/A,N/A,INSTITUTION,N/A,All sections,18/09/2018,New
10007842,University of Cumbria,UBFCUOCANIVS6,1,Animation and Visual Effects,KISCOURSE,N/A,All sections,18/09/2018,New
10001474,City of Stoke-On-Trent Sixth Form College,N/A,N/A,N/A,INSTITUTION,N/A,All sections,18/09/2018,Removed
10003678,Kingston University,BAHUFDTA1DTA20,1,Drama and Theatre,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,BAHUFDTA1DTA20,2,Drama and Theatre,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,BAHUFDTA1DTA50,1,Drama and Theatre,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,BAHUFMTE1MTE88,1,Music Technology,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,BEHUFAEE1AEE50,1,Aerospace Engineering,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,MENGSUSMEE1MEE41,1,Mechanical Engineering,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,MENGUFMEE1MEE21,1,Mechanical Engineering,KISCOURSE,N/A,All sections,25/09/2018,New
10003678,Kingston University,BAHUFDRA1DRA01,1,Drama,KISCOURSE,N/A,All sections,25/09/2018,Removed
10003678,Kingston University,BAHUFDRA1DRA01,2,Drama,KISCOURSE,N/A,All sections,25/09/2018,Removed
10003678,Kingston University,BAHUFDRA1DRA88,1,Drama,KISCOURSE,N/A,All sections,25/09/2018,Removed
10003678,Kingston University,BSHUFAEE1AEE50,1,Aerospace Engineering,KISCOURSE,N/A,All sections,25/09/2018,Removed
10003678,Kingston University,MENGSUSMEE1MEE01,1,Mechanical Engineering,KISCOURSE,N/A,All sections,25/09/2018,Removed
10003678,Kingston University,MENGUFMEE1MEE02,1,Mechanical Engineering,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,COMMON,,Employment & accreditation,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,COMMON,CAH21-01,Employment & accreditation,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,CONTINUATION,,Continuation & degree results,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,CONTINUATION,CAH21-01,Continuation & degree results,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,EMPLOYMENT,,Employment & accreditation,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,EMPLOYMENT,CAH21-01,Employment & accreditation,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,ENTRY,,Entry information,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,ENTRY,CAH21-01,Entry information,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,JOBTYPE,,Employment & accreditation,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,JOBTYPE,CAH21-01,Employment & accreditation,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,NSS,,Student satisfaction,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,NSS,CAH21-01,Student satisfaction,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,SALARY,,Employment & accreditation,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,SALARY,CAH21-01,Employment & accreditation,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,TARIFF,,Entry information,25/09/2018,New
10004603,Newcastle and Stafford Colleges Group,USFC-11673,1,Contemporary Creative Practice,TARIFF,CAH21-01,Entry information,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,UNUL-10130,1,Music and Audio Production,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,UNUL-10131,2,Music and Audio Production,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,UNUL-10132,1,Music and Audio Production,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,UNUL-10133,2,Music and Audio Production,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-03893,1,Psychology (with a foundation year),KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-04754,1,Digital Media Production,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-10535,2,Mechanical Technology,KISCOURSE,N/A,All sections,25/09/2018,Removed
10004603,Newcastle and Stafford Colleges Group,USFC-10536,2,Electrical and Electronic Technology,KISCOURSE,N/A,All sections,25/09/2018,Removed
10006299,Staffordshire University,SSTK-09165,2,Automotive Engineering,NSS,CAH10-01,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-09165,2,Automotive Engineering,SALARY,CAH10-01,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-09167,2,Mechanical Engineering,NSS,CAH10-01,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-09167,2,Mechanical Engineering,SALARY,CAH10-01,Employment & accreditation,25/09/2018,Updated
10006299,Staffordshire University,SSTK-10541,2,Electrical and Electronic Engineering,NSS,CAH10-01,Student satisfaction,25/09/2018,Updated
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10661,2,Computer Games Animation,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,COMMON,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,DEGREECLASS,,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,EMPLOYMENT,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-10712,2,CGI and Visual Effects,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11199,2,Games Art,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11199,2,Games Art,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11199,2,Games Art,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11199,2,Games Art,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11199,2,Games Art,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11199,2,Games Art,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,COMMON,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,DEGREECLASS,,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,EMPLOYMENT,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11201,2,Computer Games Design,SALARY,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,COMMON,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,COMMON,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,DEGREECLASS,CAH11-01,Continuation & degree results,25/09/2018,New
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,DEGREECLASS,,Continuation & degree results,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,EMPLOYMENT,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,EMPLOYMENT,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,JOBTYPE,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,JOBTYPE,,Employment & accreditation,25/09/2018,Removed
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,SALARY,CAH11-01,Employment & accreditation,25/09/2018,New
10006299,Staffordshire University,SSTK-11203,2,Computer Gameplay Design and Production,SALARY,,Employment & accreditation,25/09/2018,Removed
