UKPRN,PROVIDER_NAME,DATASET_ITEM_AFFECTED,WEBSITE_SECTION,NUMBER OF COURSES,DATE,NOTES
10000536,Barnsley College,KISCOURSE,All sections,7,18/09/2018,-
10001282,University of Northumbria at Newcastle,KISCOURSE,All sections,1,18/09/2018,-
10003010,Coventry College,INSTITUTION,All sections,N/A,18/09/2018,-
10003614,The University of Winchester,KISCOURSE,All sections,1,18/09/2018,-
10003863,Leeds Trinity University,KISCOURSE,All sections,4,18/09/2018,-
10004078,London South Bank University,KISCOURSE,All sections,2,18/09/2018,-
10005127,Plymouth College of Art,KISCOURSE,All sections,6,18/09/2018,-
10006299,Staffordshire University,KISCOURSE,All sections,19,18/09/2018,-
10007149,The University of Hull,KISCOURSE,All sections,3,18/09/2018,-
10007154,University of Nottingham,KISCOURSE,All sections,7,18/09/2018,-
10007455,The WKCIC Group,INSTITUTION,All sections,N/A,18/09/2018,-
10007842,University of Cumbria,KISCOURSE,All sections,1,18/09/2018,-
10001474,City of Stoke-On-Trent Sixth Form College,INSTITUTION,All sections,N/A,18/09/2018,-
10003678,Kingston University,KISCOURSE,All sections,13,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,COMMON,Employment & accreditation,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,CONTINUATION,Continuation & degree results,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,EMPLOYMENT,Employment & accreditation,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,ENTRY,Entry information,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,JOBTYPE,Employment & accreditation,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,NSS,Student satisfaction,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,SALARY,Employment & accreditation,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,TARIFF,Entry information,1,25/09/2018,-
10004603,Newcastle and Stafford Colleges Group,KISCOURSE,All sections,8,25/09/2018,-
10006299,Staffordshire University,NSS,Student satisfaction,13,25/09/2018,-
10006299,Staffordshire University,SALARY,Employment & accreditation,19,25/09/2018,-
10006299,Staffordshire University,COMMON,Employment & accreditation,15,25/09/2018,-
10006299,Staffordshire University,DEGREECLASS,Continuation & degree results,17,25/09/2018,-
10006299,Staffordshire University,EMPLOYMENT,Employment & accreditation,17,25/09/2018,-
10006299,Staffordshire University,JOBTYPE,Employment & accreditation,17,25/09/2018,-
10006299,Staffordshire University,COMMON AND/OR JOBLIST,Employment & accreditation,2,25/09/2018,-
10006299,Staffordshire University,CONTINUATION,Continuation & degree results,9,25/09/2018,-
10006299,Staffordshire University,ENTRY,Entry information,10,25/09/2018,-
10006299,Staffordshire University,NHSNSS,Student satisfaction,7,25/09/2018,-
10006299,Staffordshire University,LEO,Employment & accreditation,5,25/09/2018,-
10006299,Staffordshire University,TARIFF,Entry information,8,25/09/2018,-
10006299,Staffordshire University,KISCOURSE,All sections,20,25/09/2018,-
10006349,Stoke On Trent College,KISCOURSE,All sections,1,25/09/2018,-
10007137,The University of Chichester,KISCOURSE,All sections,1,25/09/2018,-
10007148,The University of Huddersfield,KISCOURSE,All sections,2,25/09/2018,-
10007149,The University of Hull,DEGREECLASS,Continuation & degree results,2,25/09/2018,-
10007149,The University of Hull,EMPLOYMENT,Employment & accreditation,2,25/09/2018,-
10007149,The University of Hull,KISCOURSE,All sections,21,25/09/2018,-
10007790,The University of Edinburgh,KISCOURSE,All sections,2,25/09/2018,-
10030391,London Churchill College Ltd,KISCOURSE,All sections,4,25/09/2018,-
10001282,University of Northumbria at Newcastle,KISCOURSE,All sections,1,02/10/2018,-
10003678,Kingston University,KISCOURSE,All sections,2,02/10/2018,-
10006038,Southport College,KISCOURSE,All sections,2,02/10/2018,-
10007157,The University of Sheffield,CONTINUATION,Continuation & degree results,8,02/10/2018,-
10007157,The University of Sheffield,KISCOURSE,All sections,1,02/10/2018,-
10007166,The University of Wolverhampton,KISCOURSE,All sections,14,02/10/2018,-
10007759,Aston University,ENTRY,Entry information,13,02/10/2018,-
10007759,Aston University,TARIFF,Entry information,13,02/10/2018,-
10007759,Aston University,CONTINUATION,Continuation & degree results,10,02/10/2018,-
10007759,Aston University,EMPLOYMENT,Employment & accreditation,6,02/10/2018,-
10007759,Aston University,JOBTYPE,Employment & accreditation,4,02/10/2018,-
10007759,Aston University,NSS,Student satisfaction,11,02/10/2018,-
10007759,Aston University,DEGREECLASS,Continuation & degree results,5,02/10/2018,-
10007759,Aston University,NHSNSS,Student satisfaction,2,02/10/2018,-
10007759,Aston University,COMMON AND/OR JOBLIST,Employment & accreditation,2,02/10/2018,-
10007759,Aston University,SALARY,Employment & accreditation,3,02/10/2018,-
10007759,Aston University,COMMON,Employment & accreditation,1,02/10/2018,-
10007759,Aston University,LEO,Employment & accreditation,1,02/10/2018,-
10007759,Aston University,KISCOURSE,All sections,7,02/10/2018,-
10007852,The University of Dundee,COMMON,Employment & accreditation,2,02/10/2018,-
10007852,The University of Dundee,EMPLOYMENT,Employment & accreditation,2,02/10/2018,-
10007852,The University of Dundee,JOBTYPE,Employment & accreditation,2,02/10/2018,-
10007852,The University of Dundee,SALARY,Employment & accreditation,3,02/10/2018,-
10007852,The University of Dundee,TARIFF,Entry information,3,02/10/2018,-
10007856,Aberystwyth University,KISCOURSE,All sections,14,02/10/2018,-
10007856,Aberystwyth University,CONTINUATION,Continuation & degree results,1,02/10/2018,-
10007856,Aberystwyth University,ENTRY,Entry information,1,02/10/2018,-
10007856,Aberystwyth University,TARIFF,Entry information,1,02/10/2018,-
10014001,University of Suffolk,KISCOURSE,All sections,1,02/10/2018,-
10019178,Point Blank Music School,ENTRY,Entry information,2,02/10/2018,-
10019178,Point Blank Music School,NHSNSS,Student satisfaction,1,02/10/2018,-
10019178,Point Blank Music School,NSS,Student satisfaction,1,02/10/2018,-
10019178,Point Blank Music School,TARIFF,Entry information,2,02/10/2018,-
10019178,Point Blank Music School,COMMON,Employment & accreditation,1,02/10/2018,-
10019178,Point Blank Music School,DEGREECLASS,Continuation & degree results,1,02/10/2018,-
10019178,Point Blank Music School,EMPLOYMENT,Employment & accreditation,1,02/10/2018,-
